emo score, comment counts, like counts
1, 0, 1
0, 0, 4
0, 1, 6
0, 1, 25
0, 3, 25
0, 1, 9
0, 0, 12
0, 0, 0
0, 0, 9
0, 0, 25
0, 0, 3
0, 1, 1
0, 3, 6
1, 3, 5
0, 1, 4
0, 0, 4
0, 0, 0
-1, 0, 25
0, 0, 0
0, 1, 25
0, 2, 4
0, 1, 9
0, 0, 1
0, 0, 4
0, 0, 4
0, 0, 13
0, 0, 2
0, 5, 25
0, 10, 25
-1, 0, 1
0, 0, 1
0, 0, 2
1, 3, 25
0, 1, 3
0, 1, 8
0, 0, 12
0, 2, 9
1, 0, 3
0, 1, 20
0, 4, 25
0, 7, 25
0, 4, 25
0, 0, 0
0, 5, 17
0, 0, 2
0, 0, 8
0, 1, 19
0, 0, 25
0, 2, 18
1, 0, 12
0, 1, 13
0, 0, 0
-1, 1, 25
0, 0, 3
0, 0, 0
0, 0, 1
0, 1, 10
0, 0, 1
0, 0, 1
0, 4, 25
0, 1, 11
0, 1, 1
0, 4, 20
0, 0, 7
0, 1, 2
0, 2, 24
0, 0, 0
-1, 0, 21
0, 1, 14
0, 0, 1
0, 0, 25
0, 1, 3
0, 0, 1
0, 25, 25
0, 0, 1
0, 0, 0
0, 0, 2
0, 0, 4
0, 0, 1
0, 0, 2
0, 0, 1
1, 2, 4
0, 4, 25
0, 4, 25
0, 1, 24
0, 1, 1
0, 0, 0
0, 2, 5
0, 1, 4
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 1
1, 2, 25
0, 0, 16
2, 0, 16
0, 4, 25
0, 0, 0
0, 0, 1
0, 1, 15
0, 0, 1
0, 8, 22
0, 0, 0
0, 0, 1
0, 2, 11
0, 0, 0
0, 1, 1
1, 0, 4
0, 2, 2
0, 1, 8
0, 0, 0
0, 0, 1
0, 0, 7
0, 0, 1
1, 11, 25
0, 0, 8
0, 0, 0
0, 0, 0
0, 0, 5
0, 0, 2
0, 0, 2
0, 0, 0
0, 0, 9
0, 0, 0
0, 3, 25
0, 0, 12
1, 1, 3
0, 1, 13
0, 0, 25
0, 0, 2
0, 0, 2
0, 0, 1
0, 1, 13
0, 1, 0
0, 0, 19
0, 0, 0
0, 0, 3
0, 2, 8
1, 0, 1
0, 0, 5
0, 0, 0
0, 3, 4
0, 0, 0
0, 0, 0
0, 0, 2
0, 4, 10
0, 0, 14
0, 0, 25
0, 0, 1
0, 0, 7
0, 0, 3
2, 0, 1
0, 0, 10
0, 0, 11
0, 1, 25
0, 1, 0
0, 0, 0
0, 0, 2
0, 0, 4
0, 1, 0
0, 0, 0
0, 3, 25
0, 0, 6
0, 0, 1
0, 1, 0
2, 0, 2
1, 0, 1
4, 4, 18
0, 0, 0
0, 0, 3
0, 3, 25
0, 0, 0
0, 0, 14
0, 0, 1
0, 0, 3
0, 0, 1
-1, 0, 6
0, 2, 8
0, 2, 1
0, 0, 3
0, 4, 0
0, 1, 0
0, 2, 0
0, 0, 0
0, 1, 0
0, 1, 19
0, 0, 0
0, 0, 4
0, 0, 0
0, 2, 6
0, 0, 15
0, 0, 1
2, 0, 23
0, 0, 15
0, 0, 25
0, 6, 25
0, 1, 4
0, 2, 6
1, 0, 0
0, 4, 25
